timestamp,topic,data
1761286582.7401247,/target_position_array,"[0, 4095]"
1761286583.268598,/target_position_array,"[4095, 0]"
1761286583.82907,/dc_pump,"[0, 1, 0, 0]"
1761286584.2256517,/dc_pump,"[0, 1, 1, 0]"
1761286584.5872104,/dc_pump,"[0, 0, 1, 0]"
1761286584.884568,/dc_pump,"[0, 0, 0, 0]"
1761286585.3473108,/ac_pump,"[0, 1, 0, 0]"
1761286585.6130772,/ac_pump,"[0, 1, 1, 0]"
1761286586.1425984,/dc_pump,"[0, 1, 0, 0]"
1761286586.5724251,/ac_pump,"[0, 0, 1, 0]"
1761286586.9368246,/dc_pump,"[0, 0, 0, 0]"
1761286587.3664253,/ac_pump,"[0, 0, 0, 0]"
1761286588.490991,/target_pose_door,"[4200, 1000]"
1761286588.8541663,/target_pose_door,"[0, 1000]"
1761286589.2848523,/target_pose_door,"[0, 4200]"
1761286589.5822473,/target_pose_door,"[0, 1000]"
1761286590.508454,/ac,"[1, 0]"
1761286590.7409644,/ac,"[0, 0]"
1761286591.138281,/ac,"[0, 1]"
1761286591.4030921,/ac,"[0, 0]"
1761286593.1253524,/Agitator_control,0
1761286599.8733394,/motor_command,"[3, 1]"
